А а,А а,"Like 'a' in car",
Б б,B b,"Like 'b' in bat",
В в,V v,"Like 'v' in van",
Г г,G g,"Like 'g' in go",
Д д,D d,"Like 'd' in dog",
Е е,YE ye,"Like 'ye' in yet",
Ё ё,YO yo,"Like 'yo' in yonder",
Ж ж,Zh zh,"Like 's' in measure or pleasure 
or like 'g' in beige (the colour)",
З з,Z z,"Like 'z' in zoo",
И и,EE ee,"Like 'ee' in see",
Й й,I i or Y y,"like 'y' in boy or toy",
К к,K k,"Like 'k' in kitten, 'c' in cat.",
Л л,L l,"Like 'l' in light",
М м,M m,"Like 'm' in mat",
Н н,N n,"Like 'n' in no",
О о,"Stressed: O o Unstressed: A a","Like 'o' in bore, Like 'a' in car",
П п,P p,"Like 'p' in pot",
Р р,R r,"Like 'r' in run (rolled)",
С с,S s,"Like 's' in sam",
Т т,T t,"Like 't' in tap",
У у,U u,"Like 'oo' in boot",
Ф ф,F f,"Like 'f' in fat",
Х х,"H h, KH kh","Like 'h' in hello or like 
the 'ch' in Scottish 'loch' or German 'Bach'",
Ц ц,TS ts,"Like 'ts' in bits",
Ч ч,CH ch,"Like 'ch' in chip",
Ш ш,SH sh (hard),"Like 'sh' in shut",
Щ щ,SH sh (soft),"Like 'sh' in sheep",
Ъ ъ,Hard Sign,Letter before is hard,
Ы ы,I i,"Like 'i' in ill",
Ь ь,Soft Sign,Letter before is soft,
Э э,E e,"Like 'e' in pet",
Ю ю,YU yu,"Like 'u' in use or university",
Я я,YA ya,"Like 'ya' in yard.",
